RESULTADOS,tourism_20.txt
C,20,m,5,Runs,10,Seed,1765130510

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Viz1_Iter1000,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Viz1_Iter2000,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Viz2_Iter500,81.4438,82.3267,82.3267,82.3267,82.3267,81.3238,82.3267,81.6195,82.3115,82.3267,82.3267,81.3238,82.0659,0.4007
Viz2_Iter1000,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Viz2_Iter2000,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,81.3238,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3115,82.3267,81.3238,82.2249,0.3004
Pop50_Gen100,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Pop100_Gen100,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000

# Variando Probabilidades
Cx0.70_Mut0.05,82.3267,82.3267,82.3267,82.3115,82.3267,82.3267,81.4438,82.3267,82.3267,82.3267,82.3267,81.4438,82.2369,0.2644
Cx0.70_Mut0.10,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3115,82.3267,82.3267,82.3115,82.3252,0.0046
Cx0.70_Mut0.20,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cx0.80_Mut0.05,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cx0.80_Mut0.10,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cx0.80_Mut0.20,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cx0.90_Mut0.05,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3115,82.3267,82.3267,82.3267,82.3115,82.3252,0.0046
Cx0.90_Mut0.10,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cx0.90_Mut0.20,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000

# Comparando Selecoes
Sel_Torneio,82.3267,82.3115,82.3267,82.3267,82.3267,82.3267,82.3267,82.3115,82.3267,82.3267,82.3267,82.3115,82.3237,0.0061
Sel_Roleta,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000

# Comparando Crossovers
Cross_Uniforme,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Cross_UmPonto,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,80.9100,82.3267,82.3267,82.3267,80.9100,82.1850,0.4250
Hibrido2_HC+EA,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000
Hibrido3_EA_Refinado,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,82.3267,0.0000


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,82.3267,82.3267,82.3267,0.0000
Melhor EA,82.3267,82.3267,82.3267,0.0000
Hibrido 1,82.3267,80.9100,82.1850,0.4250
Hibrido 2,82.3267,82.3267,82.3267,0.0000
