C,500,m,100,Runs,10,Seed,1765150226

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,3379.1482,3391.9924,3408.6949,3405.8393,3399.8967,3380.1579,3399.2716,3398.2402,3323.2061,3465.4534,3465.4534,3323.2061,3395.1901,33.0999
Viz1_Iter1000,3475.4730,3509.3271,3529.3254,3489.3681,3536.1553,3508.7831,3527.8381,3500.4027,3549.2464,3510.9403,3549.2464,3475.4730,3513.6860,21.1965
Viz1_Iter2000,3593.4456,3574.4388,3573.7658,3576.9199,3571.8808,3574.4669,3565.0654,3582.6826,3570.4328,3572.0037,3593.4456,3565.0654,3575.5102,7.3534
Viz2_Iter500,3367.6529,3374.2864,3363.8169,3347.4404,3359.9428,3388.1499,3394.7653,3381.7100,3315.5687,3376.4854,3394.7653,3315.5687,3366.9819,21.6004
Viz2_Iter1000,3454.8999,3455.0284,3464.2000,3463.9097,3455.5283,3455.2813,3442.7017,3438.0054,3427.3242,3447.1454,3464.2000,3427.3242,3450.4024,11.0486
Viz2_Iter2000,3522.8028,3504.8537,3519.6483,3519.1465,3515.7046,3518.0686,3513.0833,3514.9564,3506.0384,3515.6669,3522.8028,3504.8537,3514.9969,5.4495


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Pop30,3536.1680,3470.4698,3465.0075,3480.5280,3485.4990,3493.7535,3479.8216,3493.0139,3466.7926,3502.6769,3536.1680,3465.0075,3487.3731,20.0114
Pop50,3571.5036,3562.1321,3551.5243,3563.6382,3571.4557,3545.4149,3563.2073,3551.9901,3572.5532,3566.2076,3572.5532,3545.4149,3561.9627,8.9328
Pop100,3602.5911,3596.5251,3595.6979,3596.5812,3591.4774,3601.9215,3600.9769,3593.3315,3595.6407,3596.2993,3602.5911,3591.4774,3597.1042,3.4580
Cx0.70_Mut0.05,3554.1412,3528.7655,3529.2417,3542.4179,3545.0882,3531.9572,3570.8530,3560.4082,3547.8168,3522.0168,3570.8530,3522.0168,3543.2707,14.7793
Cx0.70_Mut0.10,3538.9272,3524.6342,3534.8092,3552.6868,3539.3032,3531.3191,3549.1932,3523.2946,3541.2084,3548.1209,3552.6868,3523.2946,3538.3497,9.5119
Cx0.70_Mut0.20,3540.5603,3535.9214,3527.1604,3539.5961,3538.0684,3523.2948,3543.7480,3533.4525,3555.0824,3533.1080,3555.0824,3523.2948,3536.9992,8.4060
Cx0.80_Mut0.05,3555.5764,3557.4215,3577.6434,3561.0753,3566.4678,3570.4018,3558.4117,3583.0935,3536.4932,3539.1062,3583.0935,3536.4932,3560.5691,14.1789
Cx0.80_Mut0.10,3563.0256,3576.6019,3553.0391,3550.0667,3575.6661,3572.1232,3558.1928,3562.7678,3563.9227,3536.1152,3576.6019,3536.1152,3561.1521,11.8652
Cx0.80_Mut0.20,3563.1028,3566.5566,3547.4974,3548.4464,3556.1419,3555.6451,3550.2295,3568.7427,3550.9558,3549.0456,3568.7427,3547.4974,3555.6364,7.4803
Cx0.90_Mut0.05,3571.5501,3559.3554,3566.0285,3576.2059,3580.3981,3579.4114,3575.4300,3579.4036,3558.0553,3550.1128,3580.3981,3550.1128,3569.5951,10.1052
Cx0.90_Mut0.10,3576.6384,3558.8923,3582.2467,3578.0955,3573.4052,3561.3839,3580.6968,3574.4405,3556.4253,3581.0375,3582.2467,3556.4253,3572.3262,9.2462
Cx0.90_Mut0.20,3581.4272,3553.8667,3567.3417,3572.2727,3572.6048,3577.1382,3565.3768,3577.1384,3576.0667,3568.1749,3581.4272,3553.8667,3571.1408,7.4852
Sel_Torneio,3564.9983,3553.7702,3542.5012,3564.3913,3561.6188,3569.5090,3569.5482,3548.7154,3558.7673,3572.2842,3572.2842,3542.5012,3560.6104,9.2170
Sel_Roleta,3492.2787,3474.5184,3479.2707,3499.8625,3477.2821,3460.2951,3473.1575,3494.0624,3474.2538,3490.3970,3499.8625,3460.2951,3481.5378,11.5481
Cross_Uniforme,3565.3845,3541.2391,3541.9880,3566.1443,3553.0507,3543.8116,3551.3747,3557.2524,3543.2182,3538.7050,3566.1443,3538.7050,3550.2168,9.5575
Cross_UmPonto,3424.3499,3420.4298,3448.1980,3423.2177,3453.5455,3445.1607,3444.5257,3430.5950,3429.7406,3412.0997,3453.5455,3412.0997,3433.1863,13.0967


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,3580.0872,3572.2494,3577.8936,3557.4087,3556.4136,3554.4770,3568.0592,3547.5826,3579.5656,3562.7826,3580.0872,3547.5826,3565.6520,11.0184
Hibrido2_HC+EA,3393.5545,3392.8438,3400.1247,3348.5646,3356.7946,3413.2237,3380.1795,3349.4360,3370.1914,3368.4050,3413.2237,3348.5646,3377.3318,21.1609
Hibrido3_EA_Refinado,3601.8754,3600.4908,3596.1867,3597.4536,3602.8359,3599.8110,3597.0257,3595.5734,3603.6253,3599.1459,3603.6253,3595.5734,3599.4024,2.6759


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,3593.4456,3565.0654,3575.5102,7.3534
Melhor EA,3602.5911,3591.4774,3597.1042,3.4580
Hibrido 1,3580.0872,3547.5826,3565.6520,11.0184
Hibrido 2,3413.2237,3348.5646,3377.3318,21.1609
