Grafo;Algoritmo;Configuracao;Melhor;Pior;Media;Desvio
tourism_100.txt;HillClimbing;"Vizinhanca 1, Iteracoes 500";689.5100;681.2900;685.2190;2.8547
tourism_100.txt;HillClimbing;"Vizinhanca 1, Iteracoes 1000";691.8000;687.9800;689.9260;1.4969
tourism_100.txt;HillClimbing;"Vizinhanca 2, Iteracoes 500";683.4900;667.8100;675.6440;5.3397
tourism_100.txt;HillClimbing;"Vizinhanca 2, Iteracoes 1000";685.1400;672.5400;680.2860;4.3743
tourism_100.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1";692.0100;692.0100;692.0100;0.0000
tourism_100.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.95, Viz 1";692.0100;691.7300;691.9410;0.1123
tourism_100.txt;Evolutivo;"Cross Uniforme (1), Selecao Torneio (1)";692.0100;690.7300;691.7870;0.4138
tourism_100.txt;Evolutivo;"Cross DoisPontos (3), Selecao Roleta (2)";689.5500;681.4900;685.5900;2.3727
tourism_100.txt;Hibrido1_GA_SA;"H1: Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1, Cross 1, Sel 1";692.0100;692.0100;692.0100;0.0000
tourism_100.txt;Hibrido2_GA_HC;"H2: Iter 1000, Viz 1, Cross 1, Sel 1";692.0100;691.7300;691.9610;0.0881
